neo-hm,null,0,100,2,0,414.7,2371.37
neo-hm,null,0,100,2,1,416.7,2362.221
neo-hm,null,0,100,2,2,415.9,2368.213
neo-hm,null,0,100,2,3,414.4,2375.802
neo-hm,null,0,100,2,4,414.8,2373.654
neo-hm,null,0,100,2,5,414.8,2373.437
neo-hm,null,0,100,2,6,417.5,2358.458
neo-hm,null,0,100,2,7,416.3,2363.719
neo-hm,null,0,100,2,8,418,2355.148
neo-hm,null,0,100,2,9,416.5,2363.687
neo-hm,null,0,100,2,10,416.7,2362.086
neo-hm,null,0,100,2,11,415.6,2370.263
neo-hm,null,0,100,2,12,414.4,2375.901
neo-hm,null,0,100,2,13,417.7,2357.299
neo-hm,null,0,100,2,14,416.6,2362.752
neo-hm,null,0,100,2,15,416.5,2364.612
neo-hm,null,0,100,2,16,417.4,2358.534
neo-hm,null,0,100,2,17,414.9,2372.058
neo-hm,null,0,100,2,18,417.2,2359.485
neo-hm,null,0,100,2,19,417.6,2357.905
neo-hm,null,0,100,2,20,417.8,2356.863
neo-hm,null,0,100,2,21,414.7,2373.968
neo-hm,null,0,100,2,22,419.6,2345.649
neo-hm,null,0,100,2,23,416.6,2363.048
neo-hm,null,0,100,2,24,417.5,2359.158
neo-hm,null,0,100,2,25,416.3,2363.673
neo-hm,null,0,100,2,26,415,2372.054
neo-hm,null,0,100,2,27,415.2,2370.794
neo-hm,null,0,100,2,28,415.5,2369.784
neo-hm,null,0,100,2,29,415.6,2366.536
neo-hm,null,0,100,2,30,417.4,2358.571
neo-hm,null,0,100,2,31,415.2,2370.541
neo-hm,null,0,100,2,32,416.8,2360.997
neo-hm,null,0,100,2,33,415.4,2370.972
neo-hm,null,0,100,2,34,417.3,2358.491
neo-hm,null,0,100,2,35,417,2360.623
neo-hm,null,0,100,2,36,417.2,2358.758
neo-hm,null,0,100,2,37,416.3,2365.334
neo-hm,null,0,100,2,38,417.2,2359.333
neo-hm,null,0,100,2,39,416.6,2361.747
neo-hm,null,0,100,2,40,415.7,2369.727
neo-hm,null,0,100,2,41,417.8,2356.87
neo-hm,null,0,100,2,42,427.5,2301.506
neo-hm,null,0,100,2,43,415.8,2368.132
neo-hm,null,0,100,2,44,427.3,2301.974
neo-hm,null,0,100,2,45,416.9,2361.229
neo-hm,null,0,100,2,46,417.4,2358.268
neo-hm,null,0,100,2,47,416.4,2364.421
neo-hm,null,0,100,2,48,417.4,2358.741
neo-hm,null,0,100,2,49,415.2,2369.834
neo-hm,null,0,100,2,50,416,2367.073
neo-hm,null,0,100,2,51,416,2366.591
neo-hm,null,0,100,2,52,417.1,2361.329
neo-hm,null,0,100,2,53,416.3,2365.626
neo-hm,null,0,100,2,54,415.6,2369.021
neo-hm,null,0,100,2,55,418.2,2354.078
neo-hm,null,0,100,2,56,416.2,2365.537
neo-hm,null,0,100,2,57,417.3,2360.602
neo-hm,null,0,100,2,58,428.8,2294.626
neo-hm,null,0,100,2,59,417.9,2355.265
neo-hm,null,0,100,2,60,417.5,2357.348
neo-hm,null,0,100,2,61,415.8,2367.048
neo-hm,null,0,100,2,62,417.1,2361.808
neo-hm,null,0,100,2,63,418.4,2353.094
neo-hm,null,0,100,2,64,431,2284.674
neo-hm,null,0,100,2,65,416.7,2362.651
neo-hm,null,0,100,2,66,416.5,2363.638
neo-hm,null,0,100,2,67,416.3,2364.974
neo-hm,null,0,100,2,68,418.7,2351.797
neo-hm,null,0,100,2,69,416.5,2363.375
neo-hm,null,0,100,2,70,417.1,2360.922
neo-hm,null,0,100,2,71,416.2,2365.036
